Date,Open,High,Low,Close,Adj Close,Volume
2021-03-15,70.690002,71.239998,70.500000,71.180000,68.846054,509400
2021-03-16,73.349998,73.900002,73.000000,73.260002,70.857841,654800
2021-03-17,72.010002,73.500000,71.430000,73.120003,70.722435,438100
2021-03-18,72.199997,72.330002,71.220001,71.510002,69.165222,365400
2021-03-19,71.169998,72.080002,70.820000,72.080002,69.716537,538900
2021-03-22,73.440002,73.629997,72.070000,73.059998,70.664398,307800
2021-03-23,74.290001,74.290001,73.459999,73.699997,71.283409,441400
2021-03-24,72.849998,73.379997,71.980003,72.010002,69.648834,505400
2021-03-25,71.580002,71.580002,70.599998,71.139999,68.807358,535600
2021-03-26,73.349998,73.500000,72.080002,73.120003,70.722435,347400
2021-03-29,73.000000,73.120003,71.680000,72.800003,71.980736,342400
2021-03-30,71.500000,72.680000,71.379997,72.400002,71.585236,242300
2021-03-31,70.680000,71.120003,70.029999,70.800003,70.003242,570000
2021-04-01,71.040001,72.300003,71.040001,71.820000,71.011765,377800
2021-04-05,72.330002,72.330002,71.139999,72.180000,71.367714,207900
2021-04-06,73.070000,73.070000,72.199997,72.860001,72.040062,293800
2021-04-07,72.660004,73.000000,72.400002,72.699997,71.881859,418600
2021-04-08,73.620003,74.949997,73.620003,74.260002,73.424309,151100
2021-04-09,73.510002,74.349998,73.309998,74.000000,73.167229,177400
2021-04-12,72.510002,74.150002,72.510002,74.139999,73.305656,177800
2021-04-13,75.000000,76.000000,74.279999,75.900002,75.045853,365400
2021-04-14,75.290001,76.010002,74.910004,75.080002,74.235077,221400
2021-04-15,74.419998,75.250000,74.419998,74.940002,74.096657,236700
2021-04-16,74.750000,75.230003,74.110001,74.849998,74.007660,299300
2021-04-19,73.260002,74.470001,72.300003,73.019997,72.198257,390200
2021-04-20,73.489998,73.489998,72.160004,72.379997,71.565460,464300
2021-04-21,72.250000,73.139999,72.199997,73.059998,72.237808,197900
2021-04-22,72.300003,72.739998,71.550003,72.190002,71.377602,272400
2021-04-23,73.400002,73.400002,72.209999,72.449997,71.634666,599800
2021-04-26,70.620003,71.449997,70.599998,71.110001,70.309753,1222300
2021-04-27,70.010002,71.040001,70.010002,70.139999,69.350670,294100
2021-04-28,70.879997,72.089996,70.879997,71.389999,70.586601,188400
2021-04-29,73.160004,73.160004,70.180000,71.110001,70.309753,195100
2021-04-30,70.750000,71.949997,70.750000,71.889999,71.080971,303100
2021-05-03,72.320000,72.949997,72.000000,72.480003,71.664337,429200
2021-05-04,72.000000,72.430000,70.709999,71.050003,70.250427,414500
2021-05-05,71.500000,72.349998,71.500000,72.300003,71.486366,436300
2021-05-06,68.080002,70.260002,68.080002,70.010002,69.222137,760000
2021-05-07,69.379997,70.500000,68.750000,68.989998,68.213608,1236200
2021-05-10,71.010002,71.760002,70.449997,70.650002,69.854927,1122500
2021-05-11,71.199997,71.760002,70.660004,71.550003,70.744804,1170900
2021-05-12,70.540001,70.599998,69.410004,69.519997,68.737640,336600
2021-05-13,69.300003,69.389999,67.860001,68.599998,67.827995,1598900
2021-05-14,70.000000,71.250000,70.000000,70.529999,69.736275,383700
2021-05-17,71.019997,71.910004,70.870003,71.320000,70.517387,348100
2021-05-18,70.879997,71.330002,70.300003,70.400002,69.607742,648500
2021-05-19,70.680000,71.800003,70.680000,71.800003,70.991989,392900
2021-05-20,71.279999,72.449997,71.279999,71.930000,71.120522,1071600
2021-05-21,73.849998,74.050003,72.900002,73.370003,72.544319,505600
2021-05-24,74.589996,75.199997,74.410004,75.099998,74.254852,531500
2021-05-25,76.500000,76.709999,76.040001,76.449997,75.589653,314100
2021-05-26,77.949997,77.949997,77.019997,77.370003,76.499306,217500
2021-05-27,76.449997,76.750000,76.300003,76.629997,75.767632,265700
2021-05-28,76.919998,77.639999,76.919998,77.320000,76.449867,231200
2021-06-01,75.900002,76.989998,75.180000,76.010002,75.154610,298400
2021-06-02,76.510002,76.919998,76.019997,76.250000,75.391907,234200
2021-06-03,76.279999,77.239998,76.059998,76.300003,75.441353,311400
2021-06-04,77.320000,78.050003,76.489998,77.790001,76.914581,156800
2021-06-07,78.000000,78.860001,78.000000,78.629997,77.745125,172600
2021-06-08,78.889999,78.889999,77.669998,78.000000,77.122215,309400
2021-06-09,76.459999,77.750000,76.459999,76.699997,75.836845,182400
